source_language,target_language,num_samples,mean_llm_judge_score
eng,dan,17,3.529
eng,deu,20,5.45
eng,ell,19,4.158
eng,fin,20,2.45
eng,hin,16,4.75
eng,ita,20,5.65
eng,jpn,20,5.6
eng,kor,20,6.25
eng,nld,19,5.421
eng,pol,19,4.368
eng,por,20,7.45
eng,spa,20,8.25
eng,swe,20,6.5
eng,zho,19,5.105
fra,dan,17,2.647
fra,deu,20,2.9
fra,ell,19,3.053
fra,fin,17,3.294
fra,hin,16,4.125
fra,ita,19,4.947
fra,jpn,20,4.0
fra,kor,20,4.7
fra,nld,20,3.75
fra,pol,20,2.8
fra,por,20,5.55
fra,spa,18,4.833
fra,swe,20,3.0
fra,zho,20,5.2
